name,lat,lon,住所
鑓水給水所,35.624115,139.349809,鑓水401
西寺方給水所,35.688311,139.268049,西寺方1006-167
狭間給水所,35.630525985011616,139.27898818901465,狭間町1994-478
犬目第二給水所,35.695549,139.296819,犬目町710
高月給水所,35.707542,139.323446,高月町2240
散田給水所,35.651348,139.314661,散田町2-6-1
東浅川給水所,35.640605,139.299937,東浅川町674
寺田配水所,35.616351,139.297037,寺田町1359-4
元八王子配水所,35.651225,139.268926,元八王子町3-2750-487
北野給水所,35.653808,139.354964,北野町595-3
南陽台配水所,35.636471,139.375112,南陽台3-5-1
楢原給水所,35.677163,139.307437,楢原町1294-3
暁町配水所,35.675144,139.336824,暁町3-3-1
久保山配水所,35.6864,139.352996,久保山町2-15-1
大船給水所,35.616731,139.317066,七国3-56-1
鑓水小山給水所,35.605788,139.360385,鑓水2-92
南大沢給水所,35.614999,139.37507,南大沢4-1942
都立陵南公園,35.654406,139.296819,長房町1572
椚田ポンプ所,35.63523,139.310884,椚田町545
